Round,Winner,Time_Elapsed,Tagger_Win_Rate,Evader_Win_Rate,Avg_Distance,Avg_Time_To_Tag
1,evader,45.0166666666654,0.0,100.0,9.5200728309106,0.0
2,evader,45.0166666666654,0.0,100.0,9.52631420287676,0.0
3,evader,45.0166666666654,0.0,100.0,10.3458297922628,0.0
4,tagger,27.4999999999997,25.0,75.0,9.98117939980717,27.4999999999997
5,evader,45.0166666666654,20.0,80.0,9.52006837802694,27.4999999999997
6,tagger,18.0666666666669,33.3333333333333,66.6666666666667,9.43408095086408,22.7833333333333
7,tagger,19.9500000000001,42.8571428571429,57.1428571428571,9.31283133529913,21.8388888888889
8,evader,45.0166666666654,37.5,62.5,9.66725437385852,21.8388888888889
9,tagger,22.0833333333334,44.4444444444444,55.5555555555556,9.55543843050716,21.9
10,tagger,20.1666666666668,50.0,50.0,9.41554511860062,21.5533333333334
11,tagger,42.2333333333322,54.5454545454545,45.4545454545455,8.91413266758897,24.9999999999999
12,tagger,36.3166666666659,58.3333333333333,41.6666666666667,9.01360742360223,26.6166666666664
13,tagger,39.9333333333323,61.5384615384615,38.4615384615385,9.06451746359181,28.2812499999997
14,tagger,30.3499999999996,64.2857142857143,35.7142857142857,9.10294425097317,28.5111111111108
15,tagger,40.3833333333323,66.6666666666667,33.3333333333333,9.18795969021258,29.6983333333329
16,tagger,28.0499999999997,68.75,31.25,9.05140525857989,29.5484848484844
17,tagger,26.2666666666665,70.5882352941177,29.4117647058824,8.92811554487123,29.2749999999996
18,tagger,16.5833333333337,72.2222222222222,27.7777777777778,8.92123575919635,28.2987179487176
19,tagger,28.9666666666663,73.6842105263158,26.3157894736842,8.95563267670857,28.3464285714282
20,tagger,33.966666666666,75.0,25.0,9.00992667062221,28.7211111111108
21,evader,45.0166666666654,71.4285714285714,28.5714285714286,8.74308181733102,28.7211111111108
22,evader,45.0166666666654,68.1818181818182,31.8181818181818,8.9272746552847,28.7211111111108
23,evader,45.0166666666654,65.2173913043478,34.7826086956522,9.10001085323352,28.7211111111108
24,tagger,34.5333333333327,66.6666666666667,33.3333333333333,8.95042726665699,29.0843749999996
25,tagger,34.0833333333327,68.0,32.0,8.79671957845829,29.3784313725486
26,tagger,17.5833333333336,69.2307692307692,30.7692307692308,8.78151665011768,28.7231481481478
