Round,Winner,Time_Elapsed,Tagger_Win_Rate,Evader_Win_Rate,Avg_Distance,Avg_Time_To_Tag
1,evader,45.0166666666654,0.0,100.0,12.6193156039348,0.0
2,tagger,38.1333333333325,50.0,50.0,10.9859266887807,38.1333333333325
3,tagger,38.6833333333324,66.6666666666667,33.3333333333333,10.2911118673398,38.4083333333324
4,tagger,28.5166666666663,75.0,25.0,9.97329648561745,35.1111111111104
5,tagger,44.9666666666654,80.0,20.0,8.86562456256833,37.5749999999992
6,tagger,30.2999999999996,83.3333333333333,16.6666666666667,8.83314803663399,36.1199999999992
7,tagger,25.4833333333332,85.7142857142857,14.2857142857143,8.82432608973627,34.3472222222216
8,tagger,20.6666666666668,87.5,12.5,8.78637268875006,32.3928571428566
9,tagger,20.2166666666668,88.8888888888889,11.1111111111111,8.75834835024074,30.8708333333329
10,tagger,17.7333333333336,90.0,10.0,8.75503226032312,29.4111111111107
11,tagger,17.5833333333336,90.9090909090909,9.09090909090909,8.75212308231786,28.228333333333
12,tagger,18.1000000000003,91.6666666666667,8.33333333333333,8.7603318914843,27.3075757575755
13,tagger,18.3833333333336,92.3076923076923,7.69230769230769,8.75470039922832,26.5638888888887
14,tagger,18.6833333333336,92.8571428571429,7.14285714285714,8.75641835691706,25.9576923076921
15,tagger,19.7666666666668,93.3333333333333,6.66666666666667,8.75956468947378,25.515476190476
16,tagger,18.8500000000002,93.75,6.25,8.75428993992586,25.071111111111
17,tagger,19.0833333333335,94.1176470588235,5.88235294117647,8.7566905319939,24.6968749999999
18,tagger,18.5333333333336,94.4444444444444,5.55555555555556,8.74910645173149,24.3343137254901
19,tagger,18.2500000000002,94.7368421052632,5.26315789473684,8.7475991673484,23.9962962962962
20,tagger,18.2333333333336,95.0,5.0,8.75146415408869,23.6929824561403
21,tagger,19.1000000000002,95.2380952380952,4.76190476190476,8.75922013547967,23.4633333333333
22,tagger,18.8500000000002,95.4545454545455,4.54545454545455,8.76555873179519,23.2436507936508
23,tagger,22.2833333333333,95.6521739130435,4.34782608695652,8.78921279310554,23.2
24,tagger,19.0666666666669,95.8333333333333,4.16666666666667,8.79565494526162,23.0202898550724
25,tagger,18.3333333333336,96.0,4.0,8.79791667811693,22.825
26,tagger,20.8666666666668,96.1538461538462,3.84615384615385,8.81232331916441,22.7466666666667
27,tagger,18.4166666666669,96.2962962962963,3.7037037037037,8.80961558059481,22.5801282051282
28,tagger,17.1833333333336,96.4285714285714,3.57142857142857,8.80655709778005,22.3802469135803
29,tagger,18.4500000000002,96.551724137931,3.44827586206897,8.80642740004443,22.239880952381
30,tagger,23.4666666666666,96.6666666666667,3.33333333333333,8.82888869284997,22.282183908046
31,tagger,18.5666666666669,96.7741935483871,3.2258064516129,8.83167389286738,22.1583333333334
32,tagger,22.3166666666667,96.875,3.125,8.84769243697925,22.1634408602151
33,tagger,18.9166666666669,96.969696969697,3.03030303030303,8.85098822539349,22.0619791666667
34,tagger,18.3333333333336,97.0588235294118,2.94117647058824,8.85201045585412,21.9489898989899
35,tagger,18.3166666666669,97.1428571428571,2.85714285714286,8.85378593970587,21.8421568627451
36,tagger,21.0833333333334,97.2222222222222,2.77777777777778,8.85965829289723,21.8204761904762
