Round,Winner,Time_Elapsed,Tagger_Win_Rate,Evader_Win_Rate,Avg_Distance,Avg_Time_To_Tag
1,evader,45.0166666666654,0.0,100.0,14.4164498691778,0.0
2,evader,45.0166666666654,0.0,100.0,14.3549341867695,0.0
3,evader,45.0166666666654,0.0,100.0,15.2248387473844,0.0
4,evader,45.0166666666654,0.0,100.0,15.0900259005586,0.0
5,evader,45.0166666666654,0.0,100.0,14.1739183678357,0.0
6,evader,45.0166666666654,0.0,100.0,13.8748885623676,0.0
7,evader,45.0166666666654,0.0,100.0,13.5997837593701,0.0
8,evader,45.0166666666654,0.0,100.0,13.690083508247,0.0
9,evader,45.0166666666654,0.0,100.0,13.6345921250273,0.0
10,evader,45.0166666666654,0.0,100.0,13.4992924094421,0.0
11,tagger,44.2666666666654,9.09090909090909,90.9090909090909,13.0098453049738,44.2666666666654
12,evader,45.0166666666654,8.33333333333333,91.6666666666667,12.7708850038738,44.2666666666654
13,evader,45.0166666666654,7.69230769230769,92.3076923076923,12.6857673020697,44.2666666666654
14,evader,45.0166666666654,7.14285714285714,92.8571428571429,12.6218516609257,44.2666666666654
15,evader,45.0166666666654,6.66666666666667,93.3333333333333,12.7339686908839,44.2666666666654
16,evader,45.0166666666654,6.25,93.75,12.886904081251,44.2666666666654
17,evader,45.0166666666654,5.88235294117647,94.1176470588235,13.0202013541248,44.2666666666654
18,evader,45.0166666666654,5.55555555555556,94.4444444444444,13.1377543835437,44.2666666666654
19,evader,45.0166666666654,5.26315789473684,94.7368421052632,13.2455905656754,44.2666666666654
20,evader,45.0166666666654,5.0,95.0,13.3510883104939,44.2666666666654
21,evader,45.0166666666654,4.76190476190476,95.2380952380952,13.4519174995646,44.2666666666654
22,evader,45.0166666666654,4.54545454545455,95.4545454545455,13.5464440856543,44.2666666666654
23,evader,45.0166666666654,4.34782608695652,95.6521739130435,13.6311838183557,44.2666666666654
24,evader,45.0166666666654,4.16666666666667,95.8333333333333,13.7068755456437,44.2666666666654
25,evader,45.0166666666654,4.0,96.0,13.771527230971,44.2666666666654
26,evader,45.0166666666654,3.84615384615385,96.1538461538462,13.8290771639895,44.2666666666654
27,evader,45.0166666666654,3.7037037037037,96.2962962962963,13.8757317893094,44.2666666666654
28,evader,45.0166666666654,3.57142857142857,96.4285714285714,13.9258507700083,44.2666666666654
29,evader,45.0166666666654,3.44827586206897,96.551724137931,13.9732316277933,44.2666666666654
30,evader,45.0166666666654,3.33333333333333,96.6666666666667,14.0189050792772,44.2666666666654
31,evader,45.0166666666654,3.2258064516129,96.7741935483871,14.0642146418277,44.2666666666654
32,evader,45.0166666666654,3.125,96.875,14.1080952972794,44.2666666666654
33,evader,45.0166666666654,3.03030303030303,96.969696969697,14.1495687067816,44.2666666666654
34,evader,45.0166666666654,2.94117647058824,97.0588235294118,14.1875482987212,44.2666666666654
35,evader,45.0166666666654,2.85714285714286,97.1428571428571,14.2250639593491,44.2666666666654
36,evader,45.0166666666654,2.77777777777778,97.2222222222222,14.259740743991,44.2666666666654
37,evader,45.0166666666654,2.7027027027027,97.2972972972973,14.2933412707752,44.2666666666654
38,evader,45.0166666666654,2.63157894736842,97.3684210526316,14.324405654232,44.2666666666654
39,evader,45.0166666666654,2.56410256410256,97.4358974358974,14.3527524980063,44.2666666666654
40,evader,45.0166666666654,2.5,97.5,14.3794277920569,44.2666666666654
41,evader,45.0166666666654,2.4390243902439,97.5609756097561,14.4070260814212,44.2666666666654
42,evader,45.0166666666654,2.38095238095238,97.6190476190476,14.4336986480008,44.2666666666654
43,evader,45.0166666666654,2.32558139534884,97.6744186046512,14.4579227063197,44.2666666666654
44,evader,45.0166666666654,2.27272727272727,97.7272727272727,14.4800375944418,44.2666666666654
45,evader,45.0166666666654,2.22222222222222,97.7777777777778,14.5008986072609,44.2666666666654
46,evader,45.0166666666654,2.17391304347826,97.8260869565217,14.5217293142392,44.2666666666654
47,evader,45.0166666666654,2.12765957446809,97.8723404255319,14.5417848944728,44.2666666666654
48,evader,45.0166666666654,2.08333333333333,97.9166666666667,14.561658178178,44.2666666666654
49,evader,45.0166666666654,2.04081632653061,97.9591836734694,14.5818205400617,44.2666666666654
50,evader,45.0166666666654,2.0,98.0,14.6013076860911,44.2666666666654
51,evader,45.0166666666654,1.96078431372549,98.0392156862745,14.6195462752652,44.2666666666654
52,evader,45.0166666666654,1.92307692307692,98.0769230769231,14.6365979587352,44.2666666666654
53,evader,45.0166666666654,1.88679245283019,98.1132075471698,14.6547731825479,44.2666666666654
54,evader,45.0166666666654,1.85185185185185,98.1481481481482,14.6763295424919,44.2666666666654
55,evader,45.0166666666654,1.81818181818182,98.1818181818182,14.687489133397,44.2666666666654
56,evader,45.0166666666654,1.78571428571429,98.2142857142857,14.6872523256751,44.2666666666654
57,evader,45.0166666666654,1.75438596491228,98.2456140350877,14.6813135512974,44.2666666666654
58,evader,45.0166666666654,1.72413793103448,98.2758620689655,14.6952981538665,44.2666666666654
59,evader,45.0166666666654,1.69491525423729,98.3050847457627,14.6952548022422,44.2666666666654
60,evader,45.0166666666654,1.66666666666667,98.3333333333333,14.6777240492402,44.2666666666654
61,evader,45.0166666666654,1.63934426229508,98.3606557377049,14.6783591859518,44.2666666666654
62,evader,45.0166666666654,1.61290322580645,98.3870967741936,14.6913577081264,44.2666666666654
63,evader,45.0166666666654,1.58730158730159,98.4126984126984,14.6728975453788,44.2666666666654
64,evader,45.0166666666654,1.5625,98.4375,14.6301816840165,44.2666666666654
65,evader,45.0166666666654,1.53846153846154,98.4615384615385,14.5847811801653,44.2666666666654
66,evader,45.0166666666654,1.51515151515152,98.4848484848485,14.6026388052606,44.2666666666654
67,evader,45.0166666666654,1.49253731343284,98.5074626865672,14.6233093272392,44.2666666666654
68,evader,45.0166666666654,1.47058823529412,98.5294117647059,14.6506593763248,44.2666666666654
69,evader,45.0166666666654,1.44927536231884,98.5507246376812,14.6745012406764,44.2666666666654
70,evader,45.0166666666654,1.42857142857143,98.5714285714286,14.7344982831192,44.2666666666654
71,evader,45.0166666666654,1.40845070422535,98.5915492957747,14.7750713209743,44.2666666666654
72,evader,45.0166666666654,1.38888888888889,98.6111111111111,14.8155068828876,44.2666666666654
73,evader,45.0166666666654,1.36986301369863,98.6301369863014,14.7731603322136,44.2666666666654
74,evader,45.0166666666654,1.35135135135135,98.6486486486486,14.6661354807868,44.2666666666654
75,tagger,22.5666666666667,2.66666666666667,97.3333333333333,14.61359727275,33.4166666666661
76,tagger,32.1333333333328,3.94736842105263,96.0526315789474,14.5327016814494,32.9888888888883
77,evader,45.0166666666654,3.8961038961039,96.1038961038961,14.4920765447837,32.9888888888883
78,tagger,17.9333333333336,5.12820512820513,94.8717948717949,14.452473435594,29.2249999999996
79,tagger,23.6833333333333,6.32911392405063,93.6708860759494,14.3976489355684,28.1166666666664
80,tagger,26.4166666666664,7.5,92.5,14.3341232609092,27.833333333333
